"Date","Transaction","Name","Memo","Amount"
"2022-01-03","DEBIT","SQ *BAREWOLF BREWING  Amesbury     MA","24692162001100246742611; 05813; ; ; ;","-18.75"
"2022-01-03","DEBIT","SQ *BAREWOLF BREWING  Amesbury     MA","24692162001100249774256; 05813; ; ; ;","-10.62"
"2022-01-03","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755421365263656907688; 05812; ; ; ;","-5.74"
"2022-01-04","DEBIT","UNITED   0162386244372 800-932-2732 TX","24692162003100896695190; 03000; ; CROUSE/CALEBA; 2022-01-28 BOSTON TO DENVER DENVER TO BOSTON;","-257.20"
"2022-01-04","DEBIT","UNITED   0169963825392 800-932-2732 TX","24692162003100897250185; 03000; ; ; ;","-115.00"
"2022-01-04","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422003160039600806; 05812; ; ; ;","-5.25"
"2022-01-04","DEBIT","APPLE.COM/BILL         866-712-7753 CA","24692162003100173555182; 05815; ; ; ;","-16.99"
"2022-01-05","DEBIT","LS *SKI AND SPORT SHA  STONEHAM     MA","24445002004300357732550; 05941; ; ; ;","-247.48"
"2022-01-05","DEBIT","DOWNTOWN WINE AND SPIR SOMERVILLE   MA","24453882005000013500226; 05921; ; ; ;","-26.98"
"2022-01-05","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422004260042120591; 05812; ; ; ;","-5.25"
"2022-01-06","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422005260051076634; 05812; ; ; ;","-5.00"
"2022-01-07","DEBIT","CENTRAL ROCK GYM CAMBR CAMBRIDGE    MA","24071052006939137394704; 07997; ; ; ;","-28.00"
"2022-01-07","DEBIT","SQ *LOS AMIGOS TAQUERI Somerville   MA","24692162006100587298764; 05814; ; ; ;","-12.04"
"2022-01-07","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422006170068548518; 05812; ; ; ;","-5.25"
"2022-01-07","DEBIT","TST* JP LICKS - DAVIS  SOMERVILLE   MA","24137462006500630434620; 05812; ; ; ;","-8.06"
"2022-01-10","DEBIT","CITY WORKS WATERTOWN   WATERTOWN    MA","24223692009018033399989; 05812; ; ; ;","-35.16"
"2022-01-10","DEBIT","TST* The Burren        Somerville   MA","24692162009100392485009; 05813; ; ; ;","-19.00"
"2022-01-10","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422009170092159982; 05812; ; ; ;","-11.50"
"2022-01-10","DEBIT","TST* The Burren        Somerville   MA","24692162009100392485819; 05813; ; ; ;","-19.00"
"2022-01-10","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422008260082686820; 05812; ; ; ;","-5.00"
"2022-01-10","DEBIT","TST* The Burren        Somerville   MA","24692162007100398977373; 05813; ; ; ;","-52.17"
"2022-01-10","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422007260070577495; 05812; ; ; ;","-5.75"
"2022-01-11","DEBIT","SOMERVILLEMA PARKTICKE 617-2392365  MA","24512392010020053685648; 09222; ; ; ;","-100.00"
"2022-01-11","DEBIT","LULULEMON PRUDENTIAL   BOSTON       MA","24692162011100609267048; 05691; ; ; ;","-31.12"
"2022-01-11","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422010160107229539; 05812; ; ; ;","-4.00"
"2022-01-12","DEBIT","PRUDENTIAL CENTER GARA BOSTON       MA","24431052011206488000563; 07523; ; ; ;","-13.00"
"2022-01-12","DEBIT","ABLETON                BERLIN       DE","74697692012910037123182; 05734; ; ; ;","-370.81"
"2022-01-12","DEBIT","FRGN TRANS FEE-ABLETON              BE","74697692012910037123182; ; ; ; ;","-3.70"
"2022-01-12","DEBIT","BROOKLYN BOULDERS SOME SOMERVILLE   MA","24275392011020057226627; 07997; ; ; ;","-33.00"
"2022-01-12","DEBIT","THE UPS STORE 2668     SOMERVILLE   MA","24692162012100401905349; 07399; ; ; ;","-2.14"
"2022-01-12","DEBIT","THE UPS STORE 2668     617-7764949  MA","24000972011739201218989; 07399; ; ; ;","-7.43"
"2022-01-12","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422011260110552577; 05812; ; ; ;","-5.75"
"2022-01-13","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162012100110549578; 05411; ; ; ;","-53.62"
"2022-01-13","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422012170128376415; 05812; ; ; ;","-5.25"
"2022-01-13","DEBIT","TST* DAVE'S FRESH PAST SOMERVILLE   MA","24137462012200141582890; 05812; ; ; ;","-42.40"
"2022-01-14","CREDIT","STATE AND LIBERTY     STATEANDLIBER MI","24492162014000008907351; 05691; ; ; ;","3.00"
"2022-01-14","DEBIT","TST* The Burren        Somerville   MA","24692162013100361724671; 05813; ; ; ;","-10.00"
"2022-01-14","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422013170139443591; 05812; ; ; ;","-5.75"
"2022-01-18","DEBIT","REI #222 CAMBRIDGE     CAMBRIDGE    MA","24692162017100408172401; 05941; ; ; ;","-90.06"
"2022-01-18","DEBIT","TITAN GAS STATION      MEDFORD      MA","24733092017258002809529; 05542; ; ; ;","-24.44"
"2022-01-18","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162017100830834719; 05411; ; ; ;","-44.14"
"2022-01-18","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422017160173778925; 05812; ; ; ;","-10.00"
"2022-01-18","DEBIT","RODGERS SKI & SPORT IN LINCOLN      NH","24512392017900017200241; 05999; ; ; ;","-29.00"
"2022-01-18","DEBIT","LAHOUTS COUNTRY CLTHNG LINCOLN      NH","24512392017900016000410; 05941; ; ; ;","-53.99"
"2022-01-18","DEBIT","POKEWORKS SOMERVILLE   SOMERVILLE   MA","24622752017001180514245; 05812; ; ; ;","-17.02"
"2022-01-18","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422016170167990957; 05812; ; ; ;","-5.00"
"2022-01-18","DEBIT","TST* The Burren        Somerville   MA","24692162015100932908751; 05813; ; ; ;","-24.00"
"2022-01-18","DEBIT","TST* The Burren        Somerville   MA","24692162015100932909049; 05813; ; ; ;","-10.00"
"2022-01-18","DEBIT","TST* Five Horses Taver Somerville   MA","24692162015100959405616; 05812; ; ; ;","-53.55"
"2022-01-18","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422015270150909369; 05812; ; ; ;","-10.24"
"2022-01-18","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422015270150909377; 05812; ; ; ;","-12.99"
"2022-01-18","DEBIT","BC UBER CASH           800-592-8996 DE","24492152016715236458476; 04121; ; ; ;","-25.00"
"2022-01-18","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422014260144716039; 05812; ; ; ;","-4.00"
"2022-01-19","DEBIT","MBTA DAVIS SQUARE      SOMERVILLE   MA","24055232019091607000388; 04111; ; ; ;","-4.80"
"2022-01-19","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422018170185638180; 05812; ; ; ;","-5.25"
"2022-01-20","DEBIT","EMMET&APOS;S PUB &AMP; BOSTON       MA","24275392019900018499557; 05813; ; ; ;","-56.15"
"2022-01-20","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422019260190325557; 05812; ; ; ;","-5.25"
"2022-01-21","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422020260201528865; 05812; ; ; ;","-5.75"
"2022-01-21","DEBIT","TST* DAVE'S FRESH PAST SOMERVILLE   MA","24137462020200175719913; 05812; ; ; ;","-67.76"
"2022-01-21","CREDIT","PAYMENT   THANK YOU","INTERNET; ; ; ; ;","4218.95"
"2022-01-24","DEBIT","MUSE THAI BISTRO       MANCHESTER   NH","24941662024400027000184; 05812; ; ; ;","-73.80"
"2022-01-24","DEBIT","TST* The Burren        Somerville   MA","24692162022100135070236; 05813; ; ; ;","-10.00"
"2022-01-24","DEBIT","SQ *LOS AMIGOS TAQUERI Somerville   MA","24692162022100425801860; 05814; ; ; ;","-22.47"
"2022-01-24","DEBIT","CVS/PHARMACY #08319    SOMERVILLE   MA","24137462022001050337997; 05912; ; ; ;","-30.00"
"2022-01-24","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162022100016633201; 05411; ; ; ;","-11.15"
"2022-01-24","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422021260216369940; 05812; ; ; ;","-5.75"
"2022-01-24","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162021100712697964; 05411; ; ; ;","-55.10"
"2022-01-25","DEBIT","LOON MOUNTAIN F&B 2    LINCOLN      NH","24445002024100108489344; 05812; ; ; ;","-15.85"
"2022-01-25","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422024160247568725; 05812; ; ; ;","-4.00"
"2022-01-25","DEBIT","SQ *LOS AMIGOS TAQUERI Somerville   MA","24692162024100875092976; 05814; ; ; ;","-11.24"
"2022-01-25","DEBIT","RCN*CABLE PHONE INTERN 800-RINGRCN  PA","24692162024100716436135; 04899; ; ; ;","-93.78"
"2022-01-25","DEBIT","SPOTIFY                877-778-1161 NY","24492152025745112799296; 04899; ; ; ;","-9.99"
"2022-01-26","DEBIT","TST* The Burren        Somerville   MA","24692162025100841232374; 05813; ; ; ;","-27.92"
"2022-01-26","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422025170259212533; 05812; ; ; ;","-5.75"
"2022-01-27","DEBIT","CVS/PHARMACY #08319    SOMERVILLE   MA","24137462027000965825562; 05912; ; ; ;","-21.23"
"2022-01-27","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422026260262791703; 05812; ; ; ;","-5.00"
"2022-01-27","DEBIT","BC UBER CASH           800-592-8996 DE","24492152026715281365368; 04121; ; ; ;","-50.00"
"2022-01-28","DEBIT","LEAVITT & PEIRCE       CAMBRIDGE    MA","24692162028100457922703; 05947; ; ; ;","-157.93"
"2022-01-28","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422027260272881683; 05812; ; ; ;","-5.75"
"2022-01-31","DEBIT","PAYPAL *MEDIUM.COM     402-935-7733 CA","24492152030894310577451; 05815; ; ; ;","-5.00"
"2022-01-31","DEBIT","DENVER AIRPORT         DENVER       CO","24431062029796446966268; 05814; ; ; ;","-26.36"
"2022-01-31","DEBIT","TST* Ullr Cafe         Breckenridge CO","24692162029100852479993; 05812; ; ; ;","-48.11"
"2022-01-31","DEBIT","PEETS COFFEE           BOSTON       MA","24801972029286621601601; 05812; ; ; ;","-9.60"
"2022-01-31","DEBIT","PEETS COFFEE           BOSTON       MA","24801972029286621602534; 05812; ; ; ;","-6.65"
"2022-01-31","DEBIT","CITIZEN PUBLIC HOUSE   BOSTON       MA","24137462028500778277363; 05812; ; ; ;","-91.12"
"2022-01-31","DEBIT","SNOW.COM/VAIL RESORTS  888-838-0495 CO","24610432028004024124700; 07999; ; ; ;","-402.33"
"2022-01-31","DEBIT","BC UBER CASH           800-592-8996 DE","24492152028715482057788; 04121; ; ; ;","-50.00"
"2022-02-01","DEBIT","BRECKENRIDGE MARKET    BRECKENRIDGE CO","24427332031730258448460; 05411; ; ; ;","-11.12"
"2022-02-01","DEBIT","SQ *SEMPLICE CAFE      BRECKENRIDGE CO","24692162031100024374839; 05814; ; ; ;","-5.45"
"2022-02-02","DEBIT","BC UBER CASH           800-592-8996 DE","24492152033743983213414; 04121; ; ; ;","-25.00"
"2022-02-03","DEBIT","QDOBA                  DENVER       CO","24941682033400205002272; 05812; ; ; ;","-12.61"
"2022-02-03","DEBIT","CARIBOU COFFEE        GREENWOOD VIL CO","24941682033796769984031; 05814; ; ; ;","-5.38"
"2022-02-03","DEBIT","EXPORT TOWING          MEDFORD      MA","24453882034000017600068; 07549; ; ; ;","-335.00"
"2022-02-03","DEBIT","BC UBER CASH           800-592-8996 DE","24492152033745028653298; 04121; ; ; ;","-75.00"
"2022-02-03","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422033270330663983; 05812; ; ; ;","-11.75"
"2022-02-03","DEBIT","SQ *LOS AMIGOS TAQUERI Somerville   MA","24692162033100822321287; 05814; ; ; ;","-31.83"
"2022-02-04","DEBIT","CVS/PHARMACY #08319    SOMERVILLE   MA","24137462035001041855177; 05912; ; ; ;","-21.23"
"2022-02-04","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162034100641976765; 05411; ; ; ;","-101.22"
"2022-02-04","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422034260342357350; 05812; ; ; ;","-10.00"
"2022-02-04","DEBIT","BC UBER CASH           800-592-8996 DE","24492152034745128305954; 04121; ; ; ;","-50.00"
"2022-02-04","DEBIT","APPLE.COM/BILL         866-712-7753 CA","24692162035100680752811; 05815; ; ; ;","-16.99"
"2022-02-07","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422037170379339345; 05812; ; ; ;","-5.75"
"2022-02-07","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422036260369165080; 05812; ; ; ;","-14.25"
"2022-02-07","DEBIT","BH* BETTERHELP        HTTPSWWW.BETT CA","24492162036000024548720; 08099; ; ; ;","-288.00"
"2022-02-07","DEBIT","BC UBER CASH           800-592-8996 DE","24492152037743363341286; 04121; ; ; ;","-50.00"
"2022-02-07","DEBIT","WHOLEFDS MDF 10380     MEDFORD      MA","24137462036001433430695; 05411; ; ; ;","-80.87"
"2022-02-07","DEBIT","USPS PO 2400690156     MEDFORD      MA","24137462036001138475946; 09402; ; ; ;","-0.73"
"2022-02-07","DEBIT","USPS PO 2400690156     MEDFORD      MA","24137462036001138475862; 09402; ; ; ;","-0.73"
"2022-02-07","DEBIT","DOWNTOWN WINE AND SPIR SOMERVILLE   MA","24453882036000013401121; 05921; ; ; ;","-29.98"
"2022-02-07","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162035100253533440; 05411; ; ; ;","-10.61"
"2022-02-07","DEBIT","PAYPAL *XFERRECORDS    4029357733   ON","74897292035204339971492; 05734; ; ; ;","-189.00"
"2022-02-07","DEBIT","FRGN TRANS FEE-PAYPAL *XFERRECORDS  40","74897292035204339971492; ; ; ; ;","-1.89"
"2022-02-08","DEBIT","MBTA HAYMARKET         BOSTON       MA","24055232039091311000324; 04111; ; ; ;","-4.80"
"2022-02-08","DEBIT","SQ *SAM ADAMS BOSTON T Boston       MA","24692162039100741707578; 05813; ; ; ;","-19.74"
"2022-02-08","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422038170382296341; 05812; ; ; ;","-5.75"
"2022-02-09","DEBIT","DOWNTOWN WINE AND SPIR SOMERVILLE   MA","24453882040000017000592; 05921; ; ; ;","-53.03"
"2022-02-09","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422039260395222555; 05812; ; ; ;","-14.25"
"2022-02-09","DEBIT","BC UBER CASH           800-592-8996 DE","24492152040717660807384; 04121; ; ; ;","-50.00"
"2022-02-10","DEBIT","PARLA                  BOSTON       MA","24269792040500538198143; 05813; ; ; ;","-40.17"
"2022-02-10","DEBIT","BROOKLYN BOULDERS SOME 978-3176635  MA","24275392040900010645226; 07997; ; ; ;","-4.00"
"2022-02-10","DEBIT","TST* The Burren        Somerville   MA","24692162040100200645308; 05813; ; ; ;","-20.00"
"2022-02-10","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422040260405163556; 05812; ; ; ;","-5.75"
"2022-02-11","DEBIT","AMERICAN 0012404584966 FORT WORTH   TX","24943002041978001018815; 03001; ; CROUSE/CALEB; 2022-03-03 BOSTON TO WASHINGTON WASHINGTON TO KNOXVILLE TN;","-295.20"
"2022-02-11","DEBIT","AMERICAN 0010647225683 FORT WORTH   TX","24943002041978001936792; 03001; ; CROUSE/CALEB; 2022-02-09 RVU TO FEE ;","-81.45"
"2022-02-11","DEBIT","PORTER CAFE            WEST ROXBURY MA","24275392041900017035545; 05813; ; ; ;","-55.15"
"2022-02-11","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422041260417973447; 05812; ; ; ;","-5.75"
"2022-02-11","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162041100816517908; 05411; ; ; ;","-48.42"
"2022-02-14","DEBIT","BROOKLYN BOULDERS SOME 978-3176635  MA","24275392044900011085824; 07997; ; ; ;","-135.00"
"2022-02-14","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422044260441225597; 05812; ; ; ;","-12.00"
"2022-02-14","DEBIT","BC UBER CASH           800-592-8996 DE","24492152045743195772971; 04121; ; ; ;","-50.00"
"2022-02-14","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422043270434411238; 05812; ; ; ;","-5.75"
"2022-02-14","DEBIT","SPLICE.COM             SPLICE.COM   NY","24011342043000045089986; 05734; ; ; ;","-106.24"
"2022-02-14","DEBIT","PRESSED CAFE NEWTON    857-4040192  MA","24540452043178854278093; 05812; ; ; ;","-26.96"
"2022-02-14","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422042270423548215; 05812; ; ; ;","-5.00"
"2022-02-14","DEBIT","BC UBER CASH           800-592-8996 DE","24492152042745962816579; 04121; ; ; ;","-25.00"
"2022-02-15","DEBIT","WHOLEFDS SMV #10511    SOMERVILLE   MA","24137462046001526564507; 05411; ; ; ;","-33.23"
"2022-02-15","DEBIT","BROOKLYN BOULDERS SOME 978-3176635  MA","24275392045900011176531; 07997; ; ; ;","-4.00"
"2022-02-15","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422045170452264949; 05812; ; ; ;","-3.00"
"2022-02-16","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422046270461808626; 05812; ; ; ;","-5.75"
"2022-02-16","CREDIT","PAYMENT   THANK YOU","INTERNET; ; ; ; ;","3823.42"
"2022-02-17","DEBIT","TST* Foundry Saloon Ro Somerville   MA","24692162047100077473944; 05813; ; ; ;","-30.14"
"2022-02-17","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422047260479446484; 05812; ; ; ;","-5.75"
"2022-02-17","DEBIT","PAYPAL *BOSTONSPORT    402-935-7733 CA","24492152047894166224472; 08099; ; ; ;","-20.00"
"2022-02-17","DEBIT","TST* DAVE'S FRESH PAST SOMERVILLE   MA","24137462047500631309053; 05812; ; ; ;","-41.69"
"2022-02-18","DEBIT","SOMERVILLEMA PARKTICKE 617-2392365  MA","24512392048020194970632; 09222; ; ; ;","-100.00"
"2022-02-18","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422048260488531325; 05812; ; ; ;","-5.75"
"2022-02-22","DEBIT","MT SUNAPPE F&B         NEWBURY      NH","24431062052796488062455; 05812; ; ; ;","-5.25"
"2022-02-22","DEBIT","MT SUNAPPE F&B         NEWBURY      NH","24431062052796494694580; 05812; ; ; ;","-9.68"
"2022-02-22","DEBIT","MT SUNAPPE F&B         NEWBURY      NH","24431062052796498983328; 05812; ; ; ;","-4.34"
"2022-02-22","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422052170524402303; 05812; ; ; ;","-5.75"
"2022-02-22","DEBIT","BFRESH 2420            SOMERVILLE   MA","24692162052100263068815; 05411; ; ; ;","-82.79"
"2022-02-22","DEBIT","CBDMD                  800-973-3984 NC","24692162053100436938489; 05499; ; ; ;","-26.29"
"2022-02-22","DEBIT","TST* Foundry Saloon Ro Somerville   MA","24692162051100155229831; 05813; ; ; ;","-86.83"
"2022-02-22","DEBIT","KFC J089024            HOOKSETT     NH","24943002052091453000020; 05814; ; ; ;","-26.43"
"2022-02-22","DEBIT","TST* JP LICKS - DAVIS  SOMERVILLE   MA","24137462051500738641054; 05812; ; ; ;","-6.83"
"2022-02-22","DEBIT","MICRO CENTER #121      CAMBRIDGE    MA","24445002050100154304493; 05734; ; ; ;","-106.24"
"2022-02-22","DEBIT","TST* Hojoko            Boston       MA","24692162050100397051366; 05812; ; ; ;","-38.64"
"2022-02-22","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422050270506443762; 05812; ; ; ;","-9.50"
"2022-02-22","DEBIT","GUITAR CENTER #550     BOSTON       MA","24943002050985023485805; 05733; ; ; ;","-717.71"
"2022-02-22","DEBIT","GUITAR CENTER #550     BOSTON       MA","24943002050985023485813; 05733; ; ; ;","-84.98"
"2022-02-22","DEBIT","PNT*NINE BAR ESPRESSO  SOMERVILLE   MA","24755422049270491169285; 05812; ; ; ;","-5.75"
"2022-02-22","DEBIT","MIDDLE EAST RESTAURANT CAMBRIDGE    MA","24269792049500501005565; 05812; ; ; ;","-21.00"
"2022-02-22","DEBIT","MIDDLE EAST RESTAURANT CAMBRIDGE    MA","24269792049500501005649; 05812; ; ; ;","-13.00"
"2022-02-22","DEBIT","TST* THELONIOUS MONKFI CAMBRIDGE    MA","24137462049500690551718; 05812; ; ; ;","-61.51"
"2022-02-23","DEBIT","MBTA HARVARD           CAMBRIDGE    MA","24055232054400019000728; 04111; ; ; ;","-20.00"
"2022-02-23","DEBIT","MBTA DAVIS SQUARE      SOMERVILLE   MA","24055232054400557000791; 04111; ; ; ;","-4.80"
